Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
226,225.398,1.2966,11.0589,11.1346,4.9265
227,226.392,1.3694,11.139,11.2229,4.944
228,227.386,1.4463,11.2181,11.3109,4.9612
229,228.379,1.5245,11.2967,11.399,4.9783
230,229.373,1.608,11.3768,11.4899,4.9953
231,230.367,1.6911,11.4531,11.5773,5.0118
232,231.36,1.7756,11.5283,11.6643,5.0279
233,232.353,1.859,11.6057,11.7536,5.045
234,233.347,1.9423,11.6873,11.8476,5.0628
235,234.341,2.0198,11.7665,11.9386,5.0802
236,235.334,2.0974,11.8454,12.0297,5.0976
237,236.328,2.1769,11.9228,12.1199,5.1144
238,237.322,2.2622,12.0023,12.2136,5.1314
239,238.315,2.3476,12.0793,12.3053,5.1486
240,239.308,2.4339,12.1584,12.3996,5.1668
241,240.3,2.522,12.2383,12.4954,5.1853
242,241.293,2.6181,12.3228,12.5979,5.2054
243,242.285,2.7131,12.399,12.6924,5.2232
244,243.277,2.8105,12.4749,12.7875,5.241
245,244.269,2.91,12.5533,12.8862,5.2602
246,245.26,3.017,12.6381,12.9932,5.2815
247,246.251,3.1221,12.7177,13.0953,5.3017
248,247.242,3.2299,12.7961,13.1975,5.3218
249,248.233,3.3384,12.8724,13.2983,5.3412
250,249.224,3.45,12.9543,13.4059,5.362
251,250.215,3.5586,13.0302,13.5074,5.3814
252,251.206,3.6694,13.1063,13.6103,5.4012
253,252.196,3.7807,13.1817,13.7131,5.4207
254,253.187,3.8949,13.2628,13.8229,5.4418
255,254.178,4.0056,13.3388,13.9272,5.4616
256,255.168,4.1196,13.4137,14.032,5.4815
257,256.159,4.2351,13.4854,14.1348,5.5004
258,257.149,4.3593,13.5613,14.2447,5.5209
259,258.139,4.4801,13.6336,14.3508,5.5408
260,259.128,4.6017,13.708,14.4598,5.5617
261,260.118,4.7242,13.7806,14.5679,5.5821
262,261.107,4.8501,13.8629,14.6868,5.6054
263,262.097,4.9708,13.9382,14.7981,5.6266
264,263.087,5.0862,14.0177,14.912,5.6487
265,264.077,5.2007,14.0978,15.0265,5.6709
266,265.067,5.3216,14.1796,15.1453,5.6934
267,266.056,5.4431,14.25,15.2542,5.7132
268,267.046,5.5641,14.3225,15.3653,5.7336
269,268.036,5.6849,14.3993,15.4809,5.7555
270,269.025,5.8101,14.4791,15.6014,5.778
271,270.015,5.9308,14.5542,15.7162,5.7993
272,271.004,6.0559,14.6275,15.8315,5.8207
273,271.993,6.1839,14.6979,15.9458,5.8415
274,272.982,6.317,14.7744,16.0682,5.864
275,273.971,6.4438,14.8459,16.184,5.8851
276,274.96,6.5732,14.9186,16.3025,5.907
277,275.948,6.7051,14.9892,16.4206,5.9286
278,276.937,6.8426,15.064,16.5452,5.9512
279,277.925,6.9741,15.134,16.6636,5.9726
280,278.913,7.1054,15.2087,16.7866,5.9955
281,279.902,7.2338,15.2864,16.9116,6.0189
282,280.89,7.3686,15.3654,17.0408,6.0426
283,281.879,7.494,15.4397,17.1623,6.0644
284,282.869,7.6182,15.5138,17.2833,6.086
285,283.858,7.7448,15.5871,17.4051,6.1076
286,284.846,7.8781,15.6644,17.5339,6.1304
287,285.835,8.0062,15.7453,17.6639,6.1547
288,286.822,8.1396,15.8202,17.7913,6.1778
289,287.81,8.2758,15.8882,17.9143,6.1993
290,288.799,8.4159,15.9655,18.0479,6.2231
291,289.786,8.5527,16.0349,18.1732,6.2451
292,290.774,8.6855,16.1101,18.3023,6.2682
293,291.762,8.8204,16.1809,18.4288,6.2902
294,292.75,8.9647,16.2542,18.5625,6.3135
295,293.738,9.1013,16.3269,18.6923,6.3364
296,294.726,9.2342,16.4006,18.8215,6.3589
297,295.714,9.3653,16.4776,18.9531,6.3821
