Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
358.0,354.2,37.9,29.5,48.0,13.4
359.0,355.2,38.0,29.6,48.2,13.4
360.0,356.1,38.2,29.8,48.4,13.4
361.0,357.1,38.4,29.9,48.6,13.5
362.0,358.1,38.5,30.0,48.9,13.5
363.0,359.1,38.7,30.2,49.1,13.5
364.0,360.0,38.9,30.3,49.3,13.5
365.0,361.0,39.0,30.5,49.5,13.6
366.0,362.0,39.2,30.6,49.7,13.6
367.0,363.0,39.3,30.7,49.9,13.6
368.0,364.0,39.5,30.9,50.1,13.6
369.0,364.9,39.7,31.0,50.4,13.6
370.0,365.9,39.9,31.2,50.6,13.7
371.0,366.9,40.0,31.3,50.8,13.7
372.0,367.8,40.2,31.5,51.1,13.7
373.0,368.8,40.4,31.6,51.3,13.7
374.0,369.8,40.6,31.7,51.5,13.8
375.0,370.8,40.7,31.9,51.7,13.8
376.0,371.7,40.9,32.0,51.9,13.8
377.0,372.7,41.1,32.1,52.2,13.8
378.0,373.7,41.3,32.3,52.4,13.9
379.0,374.7,41.4,32.4,52.6,13.9
380.0,375.6,41.6,32.6,52.9,13.9
381.0,376.6,41.8,32.7,53.1,13.9
382.0,377.6,42.0,32.9,53.3,14.0
383.0,378.6,42.1,33.0,53.6,14.0
384.0,379.5,42.3,33.2,53.8,14.0
385.0,380.5,42.5,33.3,54.0,14.0
386.0,381.5,42.7,33.5,54.2,14.0
387.0,382.5,42.8,33.6,54.4,14.1
388.0,383.4,43.0,33.7,54.6,14.1
389.0,384.4,43.2,33.9,54.9,14.1
390.0,385.4,43.4,34.0,55.1,14.1
391.0,386.4,43.5,34.2,55.3,14.2
392.0,387.3,43.7,34.3,55.6,14.2
393.0,388.3,43.9,34.5,55.8,14.2
394.0,389.3,44.1,34.6,56.1,14.2
395.0,390.2,44.3,34.8,56.3,14.3
396.0,391.2,44.5,34.9,56.5,14.3
397.0,392.2,44.6,35.1,56.8,14.3
398.0,393.1,44.8,35.2,57.0,14.3
399.0,394.1,45.0,35.4,57.3,14.4
400.0,395.1,45.2,35.5,57.5,14.4
401.0,396.1,45.4,35.7,57.7,14.4
402.0,397.0,45.6,35.8,58.0,14.4
403.0,398.0,45.7,36.0,58.2,14.4
404.0,399.0,45.9,36.1,58.4,14.5
405.0,400.0,46.1,36.3,58.6,14.5
406.0,400.9,46.3,36.4,58.9,14.5
407.0,401.9,46.4,36.6,59.1,14.5
408.0,402.9,46.6,36.7,59.3,14.5
409.0,403.8,46.8,36.9,59.6,14.6
410.0,404.8,47.0,37.0,59.8,14.6
411.0,405.8,47.2,37.2,60.0,14.6
412.0,406.8,47.3,37.3,60.3,14.6
413.0,407.7,47.5,37.5,60.5,14.7
414.0,408.7,47.7,37.6,60.8,14.7
415.0,409.7,47.9,37.8,61.0,14.7
416.0,410.6,48.1,37.9,61.3,14.7
417.0,411.6,48.3,38.1,61.5,14.7
418.0,412.6,48.5,38.2,61.7,14.8
419.0,413.6,48.6,38.4,61.9,14.8
420.0,414.5,48.8,38.5,62.2,14.8
421.0,415.5,49.0,38.7,62.4,14.8
422.0,416.5,49.2,38.8,62.7,14.8
423.0,417.4,49.3,39.0,62.9,14.9
424.0,418.4,49.5,39.1,63.1,14.9
425.0,419.4,49.7,39.3,63.4,14.9
426.0,420.4,49.9,39.4,63.6,14.9
427.0,421.3,50.0,39.6,63.8,14.9
428.0,422.3,50.2,39.7,64.0,15.0
429.0,423.3,50.4,39.9,64.3,15.0
430.0,424.3,50.6,40.0,64.5,15.0
431.0,425.2,50.7,40.2,64.7,15.0
432.0,426.2,50.9,40.3,64.9,15.0
433.0,427.2,51.1,40.5,65.2,15.1
434.0,428.2,51.3,40.6,65.4,15.1
435.0,429.1,51.4,40.8,65.7,15.1
436.0,430.1,51.6,41.0,65.9,15.1
437.0,431.1,51.8,41.1,66.1,15.1
438.0,432.0,52.0,41.3,66.3,15.1
439.0,433.0,52.1,41.4,66.6,15.2
440.0,434.0,52.3,41.6,66.8,15.2
441.0,435.0,52.5,41.7,67.0,15.2
442.0,435.9,52.7,41.9,67.3,15.2
443.0,436.9,52.8,42.0,67.5,15.2
444.0,437.9,53.0,42.1,67.7,15.3
445.0,438.9,53.2,42.3,68.0,15.3
446.0,439.8,53.4,42.5,68.2,15.3
447.0,440.8,53.6,42.6,68.4,15.3
448.0,441.8,53.7,42.8,68.7,15.3
449.0,442.7,53.9,42.9,69.0,15.4
450.0,443.7,54.1,43.1,69.2,15.4
451.0,444.7,54.3,43.2,69.4,15.4
452.0,445.6,54.5,43.4,69.7,15.4
453.0,446.6,54.7,43.5,69.9,15.4
454.0,447.6,54.9,43.7,70.2,15.5
455.0,448.6,55.1,43.8,70.4,15.5
456.0,449.5,55.3,44.0,70.6,15.5
457.0,450.5,55.5,44.2,70.9,15.5
458.0,451.5,55.6,44.3,71.1,15.5
459.0,452.4,55.8,44.5,71.4,15.6
460.0,453.4,56.0,44.6,71.6,15.6
461.0,454.4,56.2,44.8,71.9,15.6
462.0,455.3,56.4,45.0,72.1,15.6
463.0,456.3,56.6,45.1,72.4,15.6
464.0,457.3,56.7,45.3,72.6,15.6
465.0,458.3,56.9,45.4,72.8,15.7
466.0,459.2,57.1,45.6,73.1,15.7
467.0,460.2,57.3,45.7,73.3,15.7
468.0,461.2,57.5,45.9,73.6,15.7
469.0,462.1,57.7,46.0,73.8,15.7
470.0,463.1,57.9,46.2,74.0,15.8
471.0,464.1,58.0,46.3,74.3,15.8
472.0,465.0,58.2,46.5,74.5,15.8
473.0,466.0,58.4,46.7,74.8,15.8
474.0,467.0,58.6,46.8,75.0,15.8
475.0,468.0,58.7,47.0,75.2,15.8
476.0,468.9,58.9,47.1,75.4,15.9
477.0,469.9,59.1,47.3,75.7,15.9
478.0,470.9,59.3,47.4,75.9,15.9
479.0,471.9,59.4,47.6,76.1,15.9
480.0,472.8,59.6,47.7,76.4,15.9
481.0,473.8,59.8,47.9,76.6,15.9
482.0,474.8,59.9,48.1,76.8,15.9
483.0,475.7,60.1,48.2,77.1,16.0
484.0,476.7,60.3,48.4,77.3,16.0
485.0,477.7,60.5,48.5,77.5,16.0
486.0,478.7,60.6,48.7,77.7,16.0
487.0,479.6,60.8,48.8,78.0,16.0
488.0,480.6,60.9,49.0,78.2,16.0
489.0,481.6,61.1,49.1,78.4,16.0
490.0,482.6,61.3,49.3,78.6,16.0
491.0,483.5,61.4,49.4,78.8,16.1
492.0,484.5,61.6,49.6,79.1,16.1
493.0,485.5,61.8,49.7,79.3,16.1
494.0,486.5,61.9,49.9,79.5,16.1
495.0,487.4,62.1,50.0,79.8,16.1
496.0,488.4,62.3,50.2,80.0,16.1
497.0,489.4,62.4,50.3,80.2,16.1
498.0,490.4,62.6,50.5,80.4,16.1
499.0,491.3,62.7,50.6,80.6,16.2
500.0,492.3,62.9,50.8,80.8,16.2
501.0,493.3,63.0,50.9,81.1,16.2
502.0,494.3,63.2,51.1,81.3,16.2
503.0,495.2,63.4,51.2,81.5,16.2
504.0,496.2,63.5,51.4,81.7,16.2
505.0,497.2,63.7,51.5,81.9,16.2
506.0,498.2,63.8,51.7,82.1,16.2
507.0,499.2,63.9,51.8,82.3,16.2
508.0,500.1,64.1,52.0,82.5,16.2
509.0,501.1,64.2,52.1,82.7,16.2
510.0,502.1,64.4,52.3,82.9,16.3
511.0,503.1,64.5,52.4,83.1,16.3
512.0,504.1,64.6,52.6,83.3,16.3
513.0,505.0,64.8,52.7,83.5,16.3
514.0,506.0,65.0,52.8,83.7,16.3
515.0,507.0,65.1,53.0,83.9,16.3
516.0,508.0,65.3,53.1,84.2,16.3
517.0,508.9,65.4,53.3,84.4,16.3
518.0,509.9,65.6,53.4,84.6,16.3
519.0,510.9,65.7,53.6,84.8,16.3
520.0,511.9,65.9,53.7,85.0,16.3
521.0,512.9,66.0,53.8,85.2,16.4
522.0,513.8,66.2,54.0,85.4,16.4
523.0,514.8,66.4,54.1,85.7,16.4
524.0,515.8,66.5,54.3,85.9,16.4
525.0,516.7,66.7,54.4,86.1,16.4
526.0,517.7,66.9,54.6,86.3,16.4
527.0,518.7,67.1,54.7,86.6,16.4
528.0,519.7,67.2,54.9,86.8,16.4
529.0,520.6,67.4,55.0,87.0,16.4
530.0,521.6,67.6,55.2,87.2,16.5
531.0,522.6,67.7,55.3,87.5,16.5
532.0,523.6,67.9,55.5,87.7,16.5
533.0,524.5,68.1,55.6,87.9,16.5
534.0,525.5,68.3,55.7,88.1,16.5
535.0,526.5,68.4,55.9,88.4,16.5
536.0,527.5,68.6,56.0,88.6,16.5
537.0,528.4,68.8,56.2,88.8,16.5
538.0,529.4,69.0,56.3,89.1,16.6
539.0,530.4,69.1,56.5,89.3,16.6
540.0,531.4,69.3,56.6,89.5,16.6
541.0,532.3,69.5,56.8,89.7,16.6
542.0,533.3,69.7,56.9,90.0,16.6
543.0,534.3,69.8,57.1,90.2,16.6
544.0,535.3,70.0,57.2,90.4,16.6
545.0,536.2,70.2,57.4,90.7,16.6
546.0,537.2,70.4,57.5,90.9,16.6
547.0,538.2,70.5,57.7,91.1,16.7
548.0,539.1,70.7,57.8,91.3,16.7
549.0,540.1,70.9,58.0,91.6,16.7
550.0,541.1,71.1,58.1,91.8,16.7
551.0,542.1,71.3,58.3,92.1,16.7
552.0,543.0,71.5,58.4,92.3,16.7
553.0,544.0,71.7,58.6,92.5,16.7
554.0,545.0,71.8,58.7,92.8,16.7
555.0,545.9,72.0,58.9,93.0,16.8
556.0,546.9,72.2,59.0,93.2,16.8
557.0,547.9,72.4,59.2,93.5,16.8
558.0,548.9,72.5,59.3,93.7,16.8
559.0,549.8,72.7,59.5,93.9,16.8
560.0,550.8,72.9,59.6,94.2,16.8
561.0,551.8,73.1,59.8,94.4,16.8
562.0,552.8,73.2,59.9,94.6,16.8
563.0,553.7,73.4,60.1,94.9,16.8
564.0,554.7,73.6,60.2,95.1,16.9
565.0,555.7,73.7,60.4,95.3,16.9
566.0,556.6,73.9,60.5,95.5,16.9
567.0,557.6,74.1,60.7,95.8,16.9
568.0,558.6,74.2,60.8,96.0,16.9
569.0,559.6,74.4,61.0,96.2,16.9
570.0,560.6,74.6,61.1,96.4,16.9
571.0,561.5,74.7,61.3,96.6,16.9
572.0,562.5,74.9,61.4,96.8,16.9
573.0,563.5,75.1,61.6,97.1,16.9
574.0,564.5,75.2,61.7,97.3,17.0
575.0,565.4,75.4,61.9,97.5,17.0
